time,hr,spo2,bp_sys,bp_dia,motion
0.0,82.48357076505616,99.90119068575301,113.408516104224,74.06117380041236,0.20698258371079484
1.0,79.30867849414408,97.93933918618538,114.24712438840652,78.01338373724319,0.20325123155943903
2.0,83.23844269050346,97.29159323308954,136.3984967662874,82.67182449318192,0.24066402030322967
3.0,87.61514928204012,96.48628560738717,120.00546255165986,80.45546803127957,0.15780730612875504
4.0,78.82923312638331,96.19686032374406,126.25704001225168,75.74230010110341,0.1128163698801732
5.0,78.8293152152541,96.41586405699451,113.67280494665957,80.03136578092209,0.20784115080490967
6.0,87.89606407753696,98.26712665101148,113.7611764302269,72.34232342378178,0.21406152461093023
7.0,83.83717364576455,98.50872502322993,128.65587847399954,85.75133697949148,0.2744799704723825
8.0,77.65262807032524,96.41880929796787,109.20339030758774,78.97357990251875,0.1364818976837457
9.0,82.71280021792982,98.89503831407612,116.67828985675783,85.59274972127663,0.257734688335836
10.0,77.68291153593769,97.51693894831656,120.27221928857786,77.36734156451979,0.3183707182013561
11.0,77.67135123214871,98.14679301198555,120.89098081472042,77.38212005796709,0.18111175562387616
12.0,81.20981135783018,99.61222062825543,118.56725371987075,76.17906606681076,0.1354528890253388
13.0,70.43359877671101,98.89683931586553,123.16655824876739,84.38086965846537,0.17965128168133146
14.0,71.37541083743484,97.73146935209417,125.5428460465425,76.45284421335762,0.20070024836856903
15.0,77.18856235379513,97.10880777458472,125.87710036367464,83.22297716207588,0.22818939375034575
16.0,74.93584439832789,95.8481845986707,112.11356953065739,78.08773801165354,0.17043026350809765
17.0,81.57123666297637,97.28084668075758,117.72675921656962,70.1201835005419,0.2777599267073671
18.0,75.45987962239394,97.78886976117231,129.5581028950155,77.14842966106767,0.14427338424959693
19.0,72.93848149332354,97.01282047284882,127.15717750059098,74.10445892818576,0.11303974239136
20.0,87.32824384460777,97.8687430329077,109.01712438815149,80.16951361841168,0.25533552121436587
21.0,78.87111849756732,98.07685188295876,122.81183920281761,74.04796132162755,0.08626894843969002
22.0,80.33764102343962,97.77514401819192,104.17419800500151,84.62987550357309,0.1897935115563642
23.0,72.87625906893271,97.34999741917655,120.37547921648296,79.54462069823487,0.3558840564604024
24.0,77.27808637737408,98.16865467196672,135.18213613396782,79.11202002620631,0.19939782235200343
25.0,80.55461294854933,98.4419406495694,112.4168582618481,83.27946068893792,0.14396161746518754
26.0,74.24503211288848,96.90960092255716,113.32541563606735,84.81953467037931,0.19713012681066033
27.0,81.87849009172837,99.41093237974627,126.11223825258287,79.89950624115174,0.19745996056902335
28.0,76.99680655040598,97.90141186771574,107.65758787832283,76.14399850225355,0.20803249701765583
29.0,78.54153125103362,98.01884962294484,114.93795976091968,71.13015191943936,0.233113149107981
